code,description
92.21,Деятельность организаторов лотерей.
92.22,Деятельность операторов лотерей.
92.23,Деятельность распространителей лотерейных билетов.
93,"Деятельность в области спорта, отдыха и развлечений."
93.1,Деятельность в области спорта.
93.11,Деятельность спортивных объектов
93.12,Деятельность спортивных клубов.
93.13,Деятельность фитнес-центров.
93.19,Деятельность в области спорта прочая
93.2,Деятельность в области отдыха и развлечений.
93.21,Деятельность парков культуры и отдыха и тематических парков
93.29,Деятельность зрелищно-развлекательная прочая
93.29.1,Деятельность парков отдыха и пляжей.
93.29.2,"Деятельность танцплощадок, дискотек, школ танцев."
93.29.3,"Организация обрядов (свадеб, юбилеев), в т.ч. музыкальное сопровождение."
93.29.4,Деятельность компьютерных клубов.
93.29.9,"Деятельность зрелищно-развлекательная прочая, не включенная в другие группировки."
94,Деятельность общественных организаций                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
94.1,Деятельность предпринимательских и профессиональных членских некоммерческих организаций.
94.11,Деятельность предпринимательских членских некоммерческих организаций.
94.12,Деятельность профессиональных членских организаций.
94.2,Деятельность профессиональных союзов                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
94.20,Деятельность профессиональных союзов.
94.9,Деятельность прочих общественных и некоммерческих организаций.
94.91,Деятельность религиозных организаций.
94.92,Деятельность политических организаций                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
94.99,"Деятельность прочих общественных организаций и некоммерческих организаций, кроме религиозных и политических организаций."
94.99.2,Деятельность организаций по охране окружающей среды.
94.99.29,Деятельность организаций по охране окружающей среды прочая.
94.99.6,Деятельность организаций по проведению культурных и развлекательных мероприятий.
94.99.9,"Деятельность прочих общественных и прочих некоммерческих организаций, кроме религиозных и политических организаций, не включенных в другие группировки."
95,"Ремонт компьютеров, предметов личного потребления и хозяйственно-бытового назначения                                                                                                                                                                                                                                                                                                                                                                                                                                "
95.1,Ремонт компьютеров и коммуникационного оборудования.
95.11,Ремонт компьютеров и периферийного компьютерного оборудования.
95.12,Ремонт коммуникационного оборудования.
95.2,Ремонт предметов личного потребления и хозяйственно-бытового назначения.
95.21,Ремонт электронной бытовой техники.
95.22,"Ремонт бытовых приборов, домашнего и садового инвентаря."
95.22.1,Ремонт бытовой техники
95.22.2,Ремонт домашнего и садового оборудования.
95.23,Ремонт обуви и прочих изделий из кожи.
95.24,Ремонт мебели и предметов домашнего обихода.
95.24.1,Ремонт мебели.
95.24.2,Ремонт предметов домашнего обихода.
95.25,Ремонт часов и ювелирных изделий.
95.25.1,Ремонт часов.
95.25.2,Ремонт ювелирных изделий.
95.29,Ремонт прочих предметов личного потребления и бытовых товаров
95.29.1,Ремонт одежды и текстильных изделий.
95.29.11,Ремонт одежды.
95.29.12,Ремонт текстильных изделий.
95.29.13,Ремонт трикотажных изделий                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
95.29.2,Ремонт спортивного и туристского оборудования.
95.29.3,Ремонт игрушек и подобных им изделий.
95.29.4,Ремонт металлоизделий бытового и хозяйственного назначения.
95.29.41,Ремонт предметов и изделий из металла.
95.29.42,"Ремонт металлической галантереи, ключей, номерных знаков, указателей улиц."
95.29.43,"Заточка пил, чертежных и других инструментов, ножей, ножниц, бритв, коньков и т.п.."
95.29.5,Ремонт бытовых осветительных приборов.
95.29.6,Ремонт велосипедов.
95.29.7,Ремонт и настройка музыкальных инструментов (кроме органов и исторических музыкальных инструментов).
95.29.9,"Ремонт прочих бытовых изделий и предметов личного пользования, не вошедших в другие группировки."
96,Деятельность по предоставлению прочих персональных услуг                                                                                                                                                                                                                                                                                                                                                                                                                                                            
96.0,Деятельность по предоставлению прочих персональных услуг.
96.01,Стирка и химическая чистка текстильных и меховых изделий
96.02,Предоставление услуг парикмахерскими и салонами красоты.
96.02.1,Предоставление парикмахерских услуг.
96.02.2,Предоставление косметических услуг парикмахерскими и салонами красоты.
96.03,Организация похорон и предоставление связанных с ними услуг.
96.04,Деятельность физкультурно-оздоровительная
96.09,"Предоставление прочих персональных услуг, не включенных в другие группировки"
96.09.1,"Деятельность по оказанию услуги по скупке у граждан ювелирных и других изделий из драгоценных металлов и драгоценных камней, лома таких изделий."
96.09.9,"Предоставление прочих персональных услуг, не включенных в другие группировки, кроме деятельности по оказанию услуги по скупке у граждан ювелирных изделий."
97,Деятельность домашних хозяйств с наемными работниками                                                                                                                                                                                                                                                                                                                                                                                                                                                               
97.0,Деятельность домашних хозяйств с наемными работниками.
97.00,Деятельность домашних хозяйств с наемными работниками.
98,Деятельность недифференцированная частных домашних хозяйств по производству товаров и предоставлению услуг для собственного потребления                                                                                                                                                                                                                                                                                                                                                                             
98.1,Деятельность недифференцированная частных домашних хозяйств по производству товаров для собственного потребления                                                                                                                                                                                                                                                                                                                                                                                                    
98.10,Деятельность недифференцированная частных домашних хозяйств по производству товаров для собственного потребления.
98.2,Деятельность недифференцированная частных домашних хозяйств по предоставлению услуг для собственного потребления                                                                                                                                                                                                                                                                                                                                                                                                    
98.20,Деятельность недифференцированная частных домашних хозяйств по предоставлению услуг для собственного потребления.
99,Деятельность экстерриториальных организаций и органов                                                                                                                                                                                                                                                                                                                                                                                                                                                               
99.0,Деятельность экстерриториальных организаций и органов                                                                                                                                                                                                                                                                                                                                                                                                                                                               
99.00,Деятельность экстерриториальных организаций и органов.
11.07.11,Производство упакованных природных минеральных вод.
43.11.2,Разборка и снос участков автомобильных дорог.
11.07.15,Производство упакованных искусственно минерализованных питьевых вод.
46.48.22,Торговля оптовая ювелирными изделиями из золота.
80.10.1,Деятельность ведомственной охраны.
90.03.1,Деятельность композиторов.
71.20.89,"Сертификация прочих видов продукции, услуг и организаций."
21.20.3,Производство лекарственных препаратов для ветеринарного применения.
94.91.9,"Деятельность религиозных организаций прочая, не включенная в другие группировки."
82.30.2,Деятельность организаторов конгрессных мероприятий.
26.20.43,"Производство (тиражирование) аппаратных, программно-аппаратных шифровальных (криптографических) средств."
47.77.29,Торговля розничная ювелирными изделиями из прочих драгоценных металлов в специализированных магазинах.
52.46.7,"Розничная торговля строительными материалами, не включенными в другие  группировки"
15.81,Производство хлеба и мучных кондитерских изделий недлительного хранения
52.27.36,"Розничная торговля чаем, кофе, какао"
45.22,Устройство покрытий зданий и сооружений
15.33.2,Переработка и консервирование фруктов и орехов
55.23,Деятельность прочих мест для проживания
71.40.2,"Прокат аудио- и видеокассет, грампластинок и записей на других технических носителях информации"
52.3,"Розничная торговля фармацевтическими и медицинскими товарами,  косметическими и парфюмерными товарами"
52.62,Розничная торговля в палатках и на рынках
45.21,Производство общестроительных работ
93.02,Предоставление услуг парикмахерскими и салонами красоты
52.33,Розничная торговля косметическими и парфюмерными товарами
01.12.31,Выращивание грибов и грибницы (мицелия)
60.24,Деятельность автомобильного грузового транспорта
36.11,Производство стульев и другой мебели для сидения
74.12.1,Деятельность в области бухгалтерского учета
24.42.1,Производство медикаментов
52.33.1,"Розничная торговля косметическими и парфюмерными товарами, кроме мыла"
02.01.69,Выращивание прочей продукции питомников
70.20.2,Сдача внаем собственного нежилого недвижимого имущества
55.52,Поставка продукции общественного питания
92.71,Деятельность по организации азартных игр
72.30,Обработка данных
55.22,Деятельность кемпингов
65.23,"Финансовое посредничество, не включенное в другие группировки"
52.46.71,Розничная торговля лесоматериалами
51.47.3,Оптовая торговля прочими потребительскими товарами
28.74.1,Производство крепежных изделий и пружин
36.13,Производство кухонной мебели
22.12,Издание газет
52.31,Розничная торговля фармацевтическими товарами
60.21.12,"Пригородные автомобильные (автобусные) пассажирские перевозки,  подчиняющиеся расписанию"
74.12.2,Аудиторская деятельность
52.48,Прочая розничная торговля в специализированных магазинах
51.56.1,Оптовая торговля бумагой и картоном
25.23,"Производство пластмассовых изделий, используемых в строительстве"
20.10,Распиловка и строгание древесины; пропитка древесины
70.12.3,Покупка и продажа земельных участков
52.63,Прочая розничная торговля вне магазинов
74.11,Деятельность в области права
92.33,Деятельность ярмарок и парков с аттракционами
52.25.1,"Розничная торговля алкогольными напитками, включая пиво"
60.23,Деятельность прочего сухопутного пассажирского транспорта
52.12,Прочая розничная торговля в неспециализированных магазинах
52.27.39,"Розничная торговля прочими пищевыми продуктами, не включенными в  другие группировки"
45.21.2,"Производство общестроительных работ по строительству мостов, надземных автомобильных дорог, тоннелей и подземных дорог"
52.42,Розничная торговля одеждой
52.44.4,"Розничная торговля портьерами, тюлевыми занавесями и другими  предметами домашнего обихода из текстильных материалов"
52.11,"Розничная торговля в неспециализированных магазинах преимущественно пищевыми продуктами, включая напитки, и табачными изделиями"
52.43.1,Розничная торговля обувью
52.42.8,"Розничная торговля аксессуарами одежды (перчатками, галстуками, шарфами, ремнями, подтяжками и т.п.)"
52.74,"Ремонт бытовых изделий и предметов личного пользования, не включенных в другие группировки"
74.13,Маркетинговые исследования и выявление общественного мнения
25.22,Производство пластмассовых изделий для упаковывания товаров
29.32.9,"Предоставление услуг по монтажу, ремонту и техническому обслуживанию  машин для сельского хозяйства, включая колесные тракторы, и лесного хозяйства"
60.24.2,Деятельность автомобильного грузового неспециализированного транспорта
51.32,"Оптовая торговля мясом, мясом птицы, продуктами и консервами из мяса и мяса птицы"
92.34,Прочая зрелищно-развлекательная деятельность
93.05,Предоставление прочих персональных услуг
70.31.11,"Предоставление посреднических услуг при покупке, продаже и аренде жилого недвижимого имущества"
52.41,Розничная торговля текстильными и галантерейными изделиями
01.12.1,Овощеводство
45.44.2,Производство малярных работ
70.32.1,Управление эксплуатацией жилого фонда
52.44.2,"Розничная торговля различной домашней утварью, ножевыми изделиями, посудой, изделиями из стекла и керамики, в том числе фарфора и фаянса"
63.40,Организация перевозок грузов
74.40,Рекламная деятельность
52.71,Ремонт обуви и прочих изделий из кожи
52.48.31,"Розничная торговля товарами бытовой химии, синтетическими моющими средствами, обоями и напольными покрытиями"
52.72.2,Ремонт прочих бытовых электрических изделий
74.70.1,Чистка и уборка производственных и жилых помещений и оборудования
45.45,Производство прочих отделочных и завершающих работ
51.19,Деятельность агентов по оптовой торговле универсальным ассортиментом товаров
63.30.1,Организация комплексного туристического обслуживания
67.20.1,Деятельность страховых агентов
29.24.9,"Предоставление услуг по монтажу, ремонту и техническому обслуживанию  прочего оборудования общего назначения, не включенного в другие группировки"
51.53,"Оптовая торговля лесоматериалами, строительными материалами и санитарно-техническим оборудованием"
52.46.73,Розничная торговля металлическими и неметаллическими конструкциями и  т.п.
33.40.1,"Производство оптических приборов, фото- и кинооборудования, кроме ремонта"
51.38,Оптовая торговля прочими пищевыми продуктами
52.42.1,"Розничная торговля мужской, женской и детской одеждой"
31.20.9,"Предоставление услуг по монтажу, ремонту и техническому обслуживанию  электрической распределительной и регулирующей аппаратуры"
55.51,Деятельность столовых при предприятиях и учреждениях
52.11.2,"Розничная торговля в неспециализированных магазинах незамороженными  продуктами, включая напитки, и табачными изделиями"
45.21.1,Производство общестроительных работ по возведению зданий
80.42,"Образование для взрослых и прочие виды образования, не включенные в другие группировки"
52.61,Розничная торговля по заказам
26.63,Производство товарного бетона
51.14.2,Деятельность агентов по оптовой торговле прочими видами машин и оборудования
63.30,Деятельность туристических агентств
74.12,Деятельность в области бухгалтерского учета и аудита
72.50,Техническое обслуживание и ремонт офисных машин и вычислительной техники
80.10.3,Дополнительное образование детей
71.40.4,Прокат инвентаря и оборудования для проведения досуга и отдыха
52.25,Розничная торговля алкогольными и другими напитками
74.60,Проведение расследований и обеспечение безопасности
52.50.3,Розничная торговля прочими бывшими в употреблении товарами
92.62,Прочая деятельность в области спорта
52.45,"Розничная торговля бытовыми электротоварами, радио- и телеаппаратурой"
60.22,Деятельность такси
74.14,Консультирование по вопросам коммерческой деятельности и управления
36.12,Производство мебели для офисов и предприятий торговли
65.22.3,Предоставление денежных ссуд под залог недвижимого имущества
70.12.1,Покупка и продажа собственного жилого недвижимого имущества
52.48.2,"Специализированная розничная торговля часами, ювелирными изделиями,  спортивными товарами, играми и игрушками"
52.32,Розничная торговля медицинскими товарами и ортопедическими изделиями
70.32,Управление недвижимым имуществом
70.31.2,Предоставление посреднических услуг при оценке недвижимого имущества
51.51,Оптовая торговля топливом
52.61.1,Розничная почтовая (посылочная) торговля
52.25.11,"Розничная торговля алкогольными напитками, кроме пива"
52.61.2,"Розничная торговля, осуществляемая непосредственно при помощи телевидения, радио, телефона и Интернет"
22.25,"Дополнительная деятельность, связанная с печатанием"
92.31.21,"Деятельность по организации и постановке театральных и оперных представлений, концертов и прочих сценических выступлений"
63.21.24,"Эксплуатация гаражей, стоянок для автотранспортных средств, велосипедов и т.п."
52.46.1,Розничная торговля скобяными изделиями
65.23.1,Капиталовложения в ценные бумаги
74.30.7,"Технический контроль автомобилей: периодический технический осмотр легковых и грузовых автомобилей, мотоциклов, автобусов и других автотранспортных средств"
93.04,Физкультурно-оздоровительная деятельность
51.12.1,Деятельность агентов по оптовой торговле топливом
92.72,"Прочая деятельность по организации отдыха и развлечений, не включенная в другие группировки"
36.40,Производство спортивных товаров
74.20.12,"Проектирование производственных помещений, включая размещение машин и оборудования"
93.03,Организация похорон и предоставление связанных с ними услуг
70.12.2,Покупка и продажа собственных нежилых зданий и помещений
51.53.24,Оптовая торговля прочими строительными материалами
70.20,Сдача внаем собственного недвижимого имущества
51.43,"Оптовая торговля бытовыми электротоварами, радио- и телеаппаратурой"
51.12,"Деятельность агентов по оптовой торговле топливом, рудами, металлами и химическими веществами"
51.38.2,Оптовая торговля прочими пищевыми продуктами
51.4,Оптовая торговля непродовольственными потребительскими товарами
52.44,Розничная торговля мебелью и товарами для дома
51.38.26,Оптовая торговля мукой и макаронными изделиями
36.22.5,"Производство ювелирных изделий, медалей из драгоценных металлов и драгоценных камней"
01.22.2,"Разведение лошадей, ослов, мулов и лошаков"
52.25.12,Розничная торговля пивом
45.42,Производство столярных и плотничных работ
51.47,Оптовая торговля прочими непродовольственными потребительскими товарами
50.50,Розничная торговля моторным топливом
01.13.24,"Сбор плодов, ягод и орехов, в том числе дикорастущих"
55.40,Деятельность баров
31.10.9,"Предоставление услуг по монтажу, ремонту, техническому обслуживанию и  перемотке электродвигателей, генераторов и трансформаторов"
05.02,Рыбоводство
52.45.1,Розничная торговля бытовыми электротоварами
52.44.5,"Розничная торговля изделиями из дерева, пробки и плетеными изделиями"
60.21,"Деятельность прочего сухопутного пассажирского транспорта, подчиняющегося расписанию"
19.30,Производство обуви
52.48.22,Розничная торговля ювелирными изделиями
52.42.7,Розничная торговля головными уборами
15.51.1,Производство цельномолочной продукции
72.60,"Прочая деятельность, связанная с использованием вычислительной техники и информационных технологий"
36.63.2,Производство пишущих принадлежностей
52.48.13,"Розничная торговля компьютерами, программным обеспечением и периферийными устройствами"
55.21,Деятельность молодежных туристских лагерей и горных туристских баз
01.11.6,Выращивание кормовых культур; заготовка растительных кормов
51.38.22,"Оптовая торговля готовыми пищевыми продуктами, включая торговлю детским и диетическим питанием и прочими гомогенизированными пищевыми продуктами"
52.27.3,Розничная торговля прочими пищевыми продуктами
92.34.2,"Деятельность танцплощадок, дискотек, школ танцев"
37.10.1,Обработка отходов и лома черных металлов
51.39,"Неспециализированная оптовая торговля пищевыми продуктами, включая  напитки, и табачными изделиями"
51.90,Прочая оптовая торговля
52.22.3,Розничная торговля консервами из мяса и мяса птицы
85.32,Предоставление социальных услуг без обеспечения проживания
51.46.2,Оптовая торговля изделиями медицинской техники и ортопедическими изделиями
74.7,"Чистка и уборка производственных и жилых помещений, оборудования и  транспортных средств"
74.70,"Чистка и уборка производственных и жилых помещений, оборудования и транспортных средств"
01.22.1,Разведение овец и коз
64.20.1,Деятельность в области телефонной связи
52.27,Прочая розничная торговля пищевыми продуктами в специализированных  магазинах
26.62,Производство гипсовых изделий для использования в строительстве
60.21.1,"Деятельность автомобильного (автобусного) пассажирского транспорта,  подчиняющегося расписанию"
36.14,Производство прочей мебели
52.11.1,Розничная торговля в неспециализированных магазинах замороженными  продуктами
26.61,Производство изделий из бетона для использования в строительстве
45.25,Производство прочих строительных работ
74.70.2,Чистка и уборка транспортных средств
52.41.2,Розничная торговля галантерейными изделиями
45.24,Строительство водных сооружений
51.47.11,Оптовая торговля бытовой мебелью
24.64,Производство фотоматериалов
51.31,"Оптовая торговля фруктами, овощами и картофелем"
29.23.9,"Предоставление услуг по монтажу, ремонту и техническому обслуживанию  промышленного холодильного и вентиляционного оборудования"
51.53.1,Оптовая торговля лесоматериалами
51.21.5,"Оптовая торговля сельскохозяйственным сырьем, не включенным в другие  группировки"
52.48.3,"Специализированная розничная торговля непродовольственными товарами, не включенными в другие группировки"
71.10,Аренда легковых автомобилей
85.14.3,Деятельность медицинских лабораторий
51.42.3,Оптовая торговля изделиями из меха
51.24,Оптовая торговля шкурами и кожей
85.11.2,Деятельность санаторно-курортных учреждений
51.44.4,Оптовая торговля чистящими средствами
51.34.1,Оптовая торговля безалкогольными напитками
85.14.1,Деятельность среднего медицинского персонала
51.13,Деятельность агентов по оптовой торговле лесоматериалами и строительными материалами
15.98.2,"Производство безалкогольных напитков, кроме минеральных вод"
74.13.1,Маркетинговые исследования
52.48.32,"Розничная торговля цветами и другими растениями, семенами и удобрениями"
14.21,Разработка гравийных и песчаных карьеров
52.42.3,Розничная торговля изделиями из меха
51.51.3,Оптовая торговля сырой нефтью
45.41,Производство штукатурных работ
18.24,Производство прочей одежды и аксессуаров
05.02.11,Воспроизводство рыбы и водных биоресурсов сельскохозяйственными  товаропроизводителями
70.31.12,"Предоставление посреднических услуг при покупке, продаже и аренде нежилого недвижимого имущества"
45.43,Устройство покрытий полов и облицовка стен
64.20.3,Деятельность в области оказания услуг межсистемной связи
36.1,Производство мебели
52.48.34,"Розничная торговля сувенирами, изделиями народных художественных промыслов, предметами культового и религиозного назначения, похоронными принадлежностями"
52.41.1,Розничная торговля текстильными изделиями
52.43,Розничная торговля обувью и изделиями из кожи
22.13,Издание журналов и периодических публикаций
74.82,Упаковывание
01.13.21,Выращивание плодовых и ягодных культур
92.40,Деятельность информационных агентств
64.11.12,"Деятельность почтовой связи, связанная с пересылкой письменной корреспонденции"
52.27.1,Розничная торговля молочными продуктами и яйцами
36.63.8,Производство изделий народных художественных промыслов
51.32.1,"Оптовая торговля мясом и мясом птицы, включая субпродукты"
74.20.1,"Деятельность в области архитектуры, инженерно-техническое проектирование в промышленности и строительстве"
18.24.4,Производство головных уборов
26.21,Производство хозяйственных и декоративных керамических изделий
26.22,Производство керамических санитарно-технических изделий
52.48.11,Розничная торговля офисной мебелью
51.38.1,"Оптовая торговля рыбой, морепродуктами и рыбными консервами"
51.51.1,Оптовая торговля твердым топливом
51.45,Оптовая торговля парфюмерными и косметическими товарами
51.23,Оптовая торговля живыми животными
28.75,Производство прочих готовых металлических изделий
37.10.22,Обработка отходов и лома драгоценных металлов
52.46.2,"Розничная торговля красками, лаками и эмалями"
51.38.29,"Оптовая торговля прочими пищевыми продуктами, не включенными в другие группировки"
51.81,Оптовая торговля станками
52.24.21,Розничная торговля мучными кондитерскими изделиями
52.47.3,Розничная торговля писчебумажными и канцелярскими товарами
51.47.34,Оптовая торговля ювелирными изделиями
45.33,Производство санитарно-технических работ
52.44.6,"Розничная торговля бытовыми изделиями и приборами, не включенными в  другие группировки"
52.72,Ремонт бытовых электрических изделий
14.22,Добыча глины и каолина
51.15.5,Деятельность агентов по оптовой торговле прочими бытовыми товарами хозяйственного назначения
72.10,Консультирование по аппаратным средствам вычислительной техники
92.34.3,"Прочая зрелищно-развлекательная деятельность, не включенная в другие группировки"
28.61,Производство ножевых изделий и столовых приборов
63.21,Прочая вспомогательная деятельность сухопутного транспорта
20.51.2,Производство деревянных столовых и кухонных принадлежностей
51.44,"Оптовая торговля изделиями из керамики и стекла, обоями, чистящими средствами"
60.21.11,"Внутригородские автомобильные (автобусные) пассажирские перевозки,  подчиняющиеся расписанию"
